Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,2018,723372,1926,2300,960,3,2,918175
SingleFamily,2018,363026,1961,12310,2062,3,3,767535
SingleFamily,2018,238428,1944,6251,999,1,3,561679
SingleFamily,2018,358217,1969,18074,2348,3,4,720946
SingleFamily,2018,756e3,1950,6534,2232,3,4,790878
SingleFamily,2018,530400,1957,9180,1858,2,3,629083
Duplex,2018,134659,1954,6009,3484,3,3,945800
SingleFamily,2018,355527,1942,5388,1301,2,3,658574
SingleFamily,2018,1319775,1949,6e3,1415,2,3,1411335
SingleFamily,2018,1933127,1940,15920,4133,4,5,6448559
SingleFamily,2018,238981,1949,4980,856,1,2,921156
SingleFamily,2018,153170,1951,8999,1932,3,4,854149
SingleFamily,2018,243762,1926,5942,868,1,2,776832
SingleFamily,2018,91512,1957,5935,1503,2,3,594602
SingleFamily,2018,430774,2017,6357,3800,5.5,5,1204023
SingleFamily,2018,397513,1978,3484,1492,3,3,623974
SingleFamily,2018,159958,1949,6751,1182,1,2,524589
SingleFamily,2018,2804648,1941,18181,3953,4.5,4,2943215
Condominium,2018,293414,2002,111861,1799,3,4,492011
Duplex,2018,406360,1929,5287,1176,2,2,409655
SingleFamily,2018,623194,1903,6751,2416,2,4,912800
SingleFamily,2018,553799,1974,7302,1941,3,3,902718
SingleFamily,2018,548668,1928,4469,1704,2,3,1149251
SingleFamily,2018,822478,1935,5200,1588,2,3,1203656
SingleFamily,2018,542e3,1976,16198,1791,2,3,556412
Triplex,2018,299154,1921,6353,2788,5,5,1122649
Quadruplex,2018,47436,1913,7499,4504,4,4,1196716
SingleFamily,2018,231740,1950,9499,885,1,2,551246
SingleFamily,2018,364708,1965,7562,2001,3,4,740315
SingleFamily,2018,507876,1969,5649,1994,2,3,1066800
SingleFamily,2018,683985,1942,5830,1756,2,3,970656
SingleFamily,2018,61633,1949,5524,832,1,2,460375
Unknown,2018,72779,1982,3070,1129,3,2,479426
SingleFamily,2018,772140,1978,11761,2564,3,4,947377
SingleFamily,2018,591498,1952,4268,1280,2,3,568431
SingleFamily,2018,84851,1948,5998,1405,2,4,928531
SingleFamily,2018,842459,1941,6011,1340,1,2,1031232
SingleFamily,2018,242704,1952,7608,1450,3,3,548976
SingleFamily,2018,292798,1921,6534,1362,2,3,476858
SingleFamily,2018,1052070,1934,8511,2640,4,3,2191795
MultiFamily2To4,2018,1005265,1939,5621,1775,3,5,1480702
SingleFamily,2018,383225,1941,9010,1098,2,3,500441
SingleFamily,2018,632701,1961,7514,1782,2,4,717053
SingleFamily,2018,605169,1912,4457,1e3,1,2,663218
Duplex,2018,461302,1944,6841,1612,2,4,926271
SingleFamily,2018,198630,1912,5215,1060,1,2,571146
SingleFamily,2018,618526,1939,8100,1466,2,3,892614
SingleFamily,2018,1969935,1975,8102,2635,3,4,2304283
SingleFamily,2018,1214857,1923,4957,1156,1.5,2,1389370
SingleFamily,2018,555900,1956,7405,1362,3,4,581695
SingleFamily,2018,454494,1949,20465,1575,2,3,870829
SingleFamily,2018,841415,1951,8377,2311,3,3,3833983
Duplex,2018,236983,1928,6611,2314,2,4,797205
SingleFamily,2018,294951,1931,5003,1420,2,3,450109
SingleFamily,2018,104238,1956,6591,1717,2,3,981667
SingleFamily,2018,1195542,1936,6751,2389,3,4,1553103
SingleFamily,2018,181462,1950,5582,958,1,2,828428
Duplex,2018,48205,1944,5999,1612,2,4,550074
SingleFamily,2018,161549,1953,6899,1222,2,3,530299
SingleFamily,2018,513291,1960,11025,2115,2,4,859160
MultiFamily2To4,2018,1000863,1951,2408,2447,6,6,2128141
SingleFamily,2018,467391,1976,11077,1889,2,3,779356
SingleFamily,2018,508658,1950,5662,813,1,2,850853
SingleFamily,2018,672577,1924,5504,1096,1,2,752121
SingleFamily,2018,397131,1948,5199,1571,2,4,1309406
SingleFamily,2018,1638e3,1938,6242,2312,4,4,2103532
SingleFamily,2018,250477,1956,8906,1595,2,3,610536
Condominium,2018,324875,1987,172012,1319,2,3,390237
SingleFamily,2018,575e3,1960,7200,1303,2,3,591141
Townhouse,2018,746200,1979,242045,1414,3,3,835900
Condominium,2018,159401,1993,11763,1295,3,2,929885
SingleFamily,2018,394853,1953,5575,1409,2,3,509046
SingleFamily,2018,520200,1939,5063,1181,1,2,1042262
SingleFamily,2018,396113,1921,5227,1472,1,3,444414
Duplex,2018,256691,1940,8163,2068,2,4,527034
Duplex,2018,38082,1948,3475,1903,2,4,532231
SingleFamily,2018,117165,1948,6120,1814,2,3,1367210
SingleFamily,2018,38e4,1960,5214,1346,2,3,512646
SingleFamily,2018,264020,1954,22500,2060,2.5,3,742221
MultiFamily2To4,2018,125621,1924,6239,3e3,2,4,1198221
SingleFamily,2018,283606,1923,4817,886,1,2,390926
SingleFamily,2018,781737,1957,11830,3301,4,4,2801004
SingleFamily,2018,688e3,1943,15581,1394,1,3,713118
SingleFamily,2018,226295,1913,5122,1288,2,4,448694
SingleFamily,2018,161941,1952,6480,1072,1,3,523935
SingleFamily,2018,69544,1951,7452,1562,2,3,534897
SingleFamily,2018,203901,1948,17973,2108,3,4,1150235
MultiFamily2To4,2018,442432,2005,4560,2598,4,8,1148918
SingleFamily,2018,313675,1948,11437,1279,2,2,961971
SingleFamily,2018,125515,1948,4902,1402,2,3,1318029
SingleFamily,2018,428400,1959,7405,2500,3,4,726949
SingleFamily,2018,36791,1926,4305,1138,1,2,412999
Duplex,2018,286388,1927,6588,1832,2,2,658994
SingleFamily,2018,506345,1939,6250,1615,2,3,808929
SingleFamily,2018,182457,1963,12192,2300,3,3,1652950
SingleFamily,2018,11904873,2003,173151,11206,8.25,6,19219260
SingleFamily,2018,465e3,1947,6912,1366,2,3,603242
SingleFamily,2018,81399,1952,8330,1054,1,3,1287658
SingleFamily,2018,434044,1959,7450,1570,2,4,657990
SingleFamily,2018,142425,1948,5973,1111,1,2,540121
SingleFamily,2018,164898,1911,6071,1200,1,2,584801
SingleFamily,2018,157787,1961,7199,1952,2,3,918806
SingleFamily,2018,286906,1954,6295,1606,2,3,650403
SingleFamily,2018,480599,1957,7565,1517,2,3,620398
SingleFamily,2018,184067,1941,6500,894,1,2,392328
SingleFamily,2018,514273,1947,6840,2024,2,4,1782307
MultiFamily2To4,2018,16e5,1927,6534,3908,4,6,2357293
Duplex,2018,500575,1903,7495,2106,2,6,539208
SingleFamily,2018,282577,1948,4218,1800,2,3,690966
SingleFamily,2018,58127,1929,6726,1085,1,2,609143
SingleFamily,2018,356498,1954,7499,1437,2,3,555247
Duplex,2018,349211,1925,7290,4507,4,6,2333507
SingleFamily,2018,1315969,1978,26136,3554,4,4,1398729
SingleFamily,2018,360195,1921,261360,1488,2,3,639796
SingleFamily,2018,128591,1961,10053,2358,3,4,739215
SingleFamily,2018,769895,1922,5009,1344,2,2,889674
SingleFamily,2018,439932,1948,6751,1529,2,3,563642
SingleFamily,2018,79405,1923,4791,776,1,2,351134
SingleFamily,2018,110716,1938,6266,1242,1,2,741996
SingleFamily,2018,166803,1927,5639,1003,1,4,522117
Triplex,2018,94108,1954,7015,3438,3,7,1310984
SingleFamily,2018,121e3,1913,7e3,2828,2,3,912903
SingleFamily,2018,192152,1956,7524,1275,2,4,556401
SingleFamily,2018,391882,1964,13860,1555,2,4,688374
SingleFamily,2018,2460700,2018,5649,3706,6,5,4228193
SingleFamily,2018,168602,1956,7426,1316,2,3,573100
SingleFamily,2018,221e4,1941,5204,836,1,2,2288050
SingleFamily,2018,753248,1965,8386,2090,3,4,762045
SingleFamily,2018,1715373,1937,7252,1899,2,3,2157356
SingleFamily,2018,428109,2001,4501,2613,3,4,789169
SingleFamily,2018,338894,1939,8873,1533,1,2,1324337
SingleFamily,2018,98988,1945,5494,1758,2,4,787623
Duplex,2018,451864,1933,6353,1414,1,2,1200605
SingleFamily,2018,266941,1909,2599,972,1,3,376714
SingleFamily,2018,38517,1938,3299,1061,1,2,1093281
SingleFamily,2018,109796,1969,5074,1574,2,4,626377
SingleFamily,2018,497310,1948,7984,1446,2,3,706838
MultiFamily2To4,2018,526654,1952,8499,2840,3,6,828211
SingleFamily,2018,201464,1996,4250,1476,3,3,402468
MultiFamily2To4,2018,104681,1950,9870,1e3,1,2,861770
SingleFamily,2018,1152606,1950,4843,1205,1,2,2224934
SingleFamily,2018,178343,1953,9006,1934,2,3,676047
Triplex,2018,43474,1923,7155,2208,3,3,546883
MultiFamily2To4,2018,340331,1921,10300,3264,4,8,691215
SingleFamily,2018,26881,1927,4715,864,1,2,538102
SingleFamily,2018,484548,1938,5306,1300,1,2,698862
MultiFamily2To4,2018,342804,1905,8972,-1,2,4,709576
SingleFamily,2018,827925,1983,13939,2496,3,4,1572121
SingleFamily,2018,13308951,2003,47593,11045,9,6,15239290
SingleFamily,2018,72779,1960,8386,1232,2,3,528240
SingleFamily,2018,102922,1901,5082,1440,1,3,400264
SingleFamily,2018,180681,1939,5816,2170,3,3,3035919
SingleFamily,2018,355527,1948,5458,1467,2,3,560334
Condominium,2018,524e3,1979,466064,1598,3,3,587150
SingleFamily,2018,225541,1923,4664,936,1,2,403495
SingleFamily,2018,96774,1965,7767,2032,2,4,655665
Townhouse,2018,450210,2012,12143,1750,3,3,601967
SingleFamily,2018,888826,1968,11891,2651,3,4,1158065
SingleFamily,2018,202254,1975,7782,1930,2,4,613132
SingleFamily,2018,141461,2005,3253,1159,2,4,348753
SingleFamily,2018,757577,1941,5e3,1347,1,2,1217973
SingleFamily,2018,1474794,1993,8607,3645,3.5,4,2007538
SingleFamily,2018,259739,1947,7501,918,2,4,498599
SingleFamily,2018,1171131,1952,9603,2859,2,3,2841476
SingleFamily,2018,409397,1955,6624,1469,2,4,571779
SingleFamily,2018,515100,1954,7562,1220,3,3,564969
SingleFamily,2018,157486,1924,5003,1160,1,3,1144844
SingleFamily,2018,644620,1963,16883,2574,3,4,878787
SingleFamily,2018,522449,1937,8520,2785,3,3,2263449
SingleFamily,2018,185036,1951,6764,1813,2,3,955182
SingleFamily,2018,469723,1924,6757,1513,2,2,1744265
SingleFamily,2018,428e3,1922,5843,1130,1,3,472551
SingleFamily,2018,51871,1949,8371,1267,2,3,700819
SingleFamily,2018,378888,1965,10890,2280,3,5,785089
SingleFamily,2018,49075,1955,5206,1342,1,4,466591
SingleFamily,2018,400980,1940,7056,2e3,2,4,859002
SingleFamily,2018,318581,1918,6729,1588,2,3,1137915
MultiFamily2To4,2018,255351,1921,5501,2280,1,1,1118748
SingleFamily,2018,526063,1925,5407,2221,4,3,2078414
SingleFamily,2018,259547,1885,8585,2060,1,3,870808
SingleFamily,2018,328165,1952,5350,1631,4,3,817186
SingleFamily,2018,1656406,1937,118198,9856,9,13,26918929
SingleFamily,2018,1162567,1925,6455,1890,3,3,2165683
SingleFamily,2018,277821,1954,6999,1515,2,2,670998
SingleFamily,2018,2135032,2008,6979,4682,6,5,3569890
SingleFamily,2018,392316,1970,8276,1629,2,3,609449
Condominium,2018,292532,2011,26592,1557,3,4,468115
SingleFamily,2018,65237,1960,7585,1150,2,3,633852
SingleFamily,2018,453778,1922,5227,2660,1.5,3,567343
SingleFamily,2018,1123110,1947,7199,2188,3,4,1968057
SingleFamily,2018,1502350,1964,10886,2235,3,3,2035719
Condominium,2018,772132,1980,787351,1961,3,2,1252234
SingleFamily,2018,839930,1976,19677,4362,4,6,1714435
SingleFamily,2018,706287,1932,19707,6590,5,6,5177291
SingleFamily,2018,1562183,1956,9147,2932,3,4,1691007
SingleFamily,2018,725537,1946,7200,1394,2,3,1187773
SingleFamily,2018,370080,1950,23635,1726,2,3,573285
SingleFamily,2018,1905360,1922,32220,10120,5,4,6349643
SingleFamily,2018,314076,1975,7984,1694,2,3,733750
SingleFamily,2018,387590,1956,7840,1350,2,3,580399
SingleFamily,2018,363e3,1957,5633,1168,1,3,427800
Duplex,2018,31826,1911,6122,1915,2,3,735012
SingleFamily,2018,24712e3,2e3,226516,38e3,24,12,173817017
Triplex,2018,36912,1924,6601,2108,3,5,568151
SingleFamily,2018,84434,1916,6647,1003,2,3,440877
SingleFamily,2018,505871,1949,6494,1049,3,3,538002
SingleFamily,2018,816609,2015,1071,1736,3,2,954099
SingleFamily,2018,99651,1944,6239,1128,1,3,778248
SingleFamily,2018,8335860,1937,54940,7295,7,8,17762169
SingleFamily,2018,165972,1944,7975,1532,2,4,445601
SingleFamily,2018,1578286,2004,80446,2314,4,3,1801818
SingleFamily,2018,1458e3,2005,18621,4937,5,5,1490372
Duplex,2018,581310,2e3,8e3,2229,3,5,705291
SingleFamily,2018,74785,1925,8928,640,1,2,472452
SingleFamily,2018,276380,1952,6414,1161,1,3,583935
SingleFamily,2018,518695,1943,6008,1008,1,3,582929
SingleFamily,2018,328392,1919,11044,1292,1,2,542666
SingleFamily,2018,829166,1925,3497,1272,2,3,1369780
SingleFamily,2018,230711,1949,6098,1564,2,3,542903
SingleFamily,2018,1364e3,1951,16829,3600,4,4,1572577
SingleFamily,2018,357946,1948,9419,1662,2,2,1065095
Duplex,2018,133726,1924,4999,1984,4,4,945844
SingleFamily,2018,262335,1951,6267,1763,1,2,618444
SingleFamily,2018,271442,1963,11150,2157,3,4,757730
Duplex,2018,528399,1936,6805,3951,3,5,1885759
SingleFamily,2018,343730,1949,7841,2468,2,3,2723488
SingleFamily,2018,349239,1961,7500,1932,2,3,620014
SingleFamily,2018,214405,1931,4943,1175,1,2,452153
SingleFamily,2018,635269,1997,5805,3804,3,4,1993974
SingleFamily,2018,780967,1925,4548,962,1,2,965099
SingleFamily,2018,13447784,2007,29437,11003,8,5,17715836
SingleFamily,2018,264791,1951,6750,1480,2,3,904048
SingleFamily,2018,977044,1958,10890,2027,3,3,1220565
SingleFamily,2018,694188,1899,9786,3256,3,5,1390718
SingleFamily,2018,324080,1955,5801,1171,2,3,542915
SingleFamily,2018,55757,1947,5396,960,1,2,456961
SingleFamily,2018,1060715,1948,7567,2365,3,5,1983003
SingleFamily,2018,354721,1950,6655,1495,2,4,631100
SingleFamily,2018,520639,1958,7563,1648,2,3,545836
SingleFamily,2018,358484,1909,3955,1760,2,3,810057
SingleFamily,2018,25367,1915,4488,1123,1,3,366998
SingleFamily,2018,209826,1926,8625,2592,3,4,2732228
SingleFamily,2018,832336,1947,7474,1494,1.75,4,992884
SingleFamily,2018,667e3,1978,5202,3229,3,4,722688
SingleFamily,2018,482137,1943,5662,2171,2,4,877094
SingleFamily,2018,561708,1947,5699,2157,3,4,1857394
Duplex,2018,508658,1903,5902,2086,2,3,1247054
SingleFamily,2018,117814,1921,9079,2198,2,3,1725155
SingleFamily,2018,515343,1960,21671,3566,4,5,964144
SingleFamily,2018,111631,1924,4332,852,1,2,1574252
Condominium,2018,314551,1987,3911,1746,3,4,586205
SingleFamily,2018,407430,1961,6969,1347,2,3,577530
SingleFamily,2018,416364,1910,5075,1196,1,2,420057
SingleFamily,2018,453777,1951,8913,1040,1,3,688951
SingleFamily,2018,92694,1902,5e3,1048,1,2,408652
SingleFamily,2018,180082,1962,12322,3070,3,5,909649
SingleFamily,2018,644620,1955,21780,1619,2,3,850221
SingleFamily,2018,370793,1949,10841,1630,2,2,656638
SingleFamily,2018,364057,1947,11137,1881,2,3,1097173
Duplex,2018,293595,1925,5415,1351,3,3,606166
SingleFamily,2018,333553,1959,9943,1890,2,3,735272
Condominium,2018,304110,2002,109022,1893,3,4,501136
SingleFamily,2018,160431,1960,7502,2076,3,5,698203
SingleFamily,2018,147600,1925,5e3,784,1,2,533311
SingleFamily,2018,487012,1957,8232,1493,2,4,615186
SingleFamily,2018,317369,1921,6500,1840,1,2,1227542
SingleFamily,2018,480560,1900,5998,1232,1.5,3,573948
SingleFamily,2018,759531,1966,7750,1938,3,4,705283
SingleFamily,2018,138917,1927,6250,1206,1,3,366855
SingleFamily,2018,1055200,1909,14985,4231,3,5,2047488
SingleFamily,2018,1935350,1947,5727,1616,2,3,3314553
SingleFamily,2018,922364,1942,6e3,1900,2,3,1338294
SingleFamily,2018,1676e3,1927,6003,2076,2,3,2217126
SingleFamily,2018,393175,1964,16925,1686,3,4,772243
SingleFamily,2018,231532,1951,6749,1591,2,2,575053
Duplex,2018,158394,1923,7067,4446,4,8,1810705
SingleFamily,2018,245638,1907,6499,1248,1,2,634186
SingleFamily,2018,363312,1963,7763,1934,2,4,994267
Triplex,2018,860575,1922,6900,2528,3,3,1394956
SingleFamily,2018,40880,1946,5063,810,1,2,609704
SingleFamily,2018,332927,2013,3828,1500,2,4,421890
SingleFamily,2018,380037,1927,6534,1694,2.5,3,596429
SingleFamily,2018,372095,1941,7423,1571,2,3,717074
SingleFamily,2018,59519,1923,6702,1217,2,3,522983
SingleFamily,2018,476893,1961,7737,1740,2,3,950015
MultiFamily2To4,2018,387600,1924,5227,1512,2,3,449333
SingleFamily,2018,425e3,1945,8099,1302,2,3,490761
SingleFamily,2018,1938e3,1940,6499,4e3,6,5,2296507
SingleFamily,2018,75625,1910,8878,1344,2,3,847780
SingleFamily,2018,751563,1990,6766,3397,4,5,2619404
SingleFamily,2018,854108,1954,17003,2799,3,4,2122452
SingleFamily,2018,468179,1954,7840,1264,2,3,544081
Duplex,2018,628495,1925,7503,2052,3,2,1321970
Triplex,2018,332017,1922,7814,2712,3,6,793789
SingleFamily,2018,357834,1927,6878,1866,2,3,1341612
SingleFamily,2018,191144,1950,6049,1207,2,3,528481
SingleFamily,2018,502e3,1954,7877,1844,2,3,620260
Condominium,2018,488792,2004,83308,1996,3,4,507060
SingleFamily,2018,53e4,1956,8189,1296,2,3,577051
SingleFamily,2018,385764,1969,11800,2916,3,4,890130
SingleFamily,2018,232994,1950,6910,1126,1,3,612314
SingleFamily,2018,5861421,2008,14e3,6362,6.5,6,7549693
SingleFamily,2018,881980,1950,6051,2094,3,3,1066768
SingleFamily,2018,592314,1959,9737,2769,3,5,1110515
Condominium,2018,221817,1911,15921,642,1,1,484814
SingleFamily,2018,607350,1959,7318,1880,2,3,677573
SingleFamily,2018,336882,1950,5290,1284,2,3,406097
SingleFamily,2018,1154130,1951,23773,2161,2,3,2979979
SingleFamily,2018,777906,1947,5800,1387,2,3,1025955
SingleFamily,2018,846600,1973,12937,2796,4,4,885998
SingleFamily,2018,452491,1953,7405,1262,2,3,576569
SingleFamily,2018,384947,1924,6751,1125,1,3,592765
SingleFamily,2018,41964,1928,5309,1275,1,2,451906
Triplex,2018,393604,1923,5905,2136,3,5,995401
SingleFamily,2018,209078,1957,6905,965,1,2,783105
SingleFamily,2018,477765,1924,10599,1591,1,4,717713
Condominium,2018,495427,1968,87656,1582,3,2,946501
Triplex,2018,130924,1950,9560,2024,3,3,667864
SingleFamily,2018,256632,1960,7491,1250,2,3,612443
SingleFamily,2018,5e5,1956,7392,1153,2,3,563171
SingleFamily,2018,3429240,1981,31643,4953,5,5,6122261
SingleFamily,2018,381052,1962,8161,1680,2,3,778322
SingleFamily,2018,427869,2008,5135,2622,3,4,640527
Triplex,2018,266590,1921,4999,2262,3,6,589336
SingleFamily,2018,38525,1921,6859,684,1,2,457969
SingleFamily,2018,371453,1963,6807,2164,3,4,1210477
SingleFamily,2018,462151,1950,3270,1024,2,1,842842
SingleFamily,2018,488275,1949,6011,1012,1,2,673801
SingleFamily,2018,936768,1988,6600,3986,4,4,1052972
SingleFamily,2018,220777,1980,3049,1506,2,4,450052
SingleFamily,2018,199008,1955,5625,1375,2,4,626277
SingleFamily,2018,588022,1905,6804,1774,2,4,759428
SingleFamily,2018,586673,1968,11543,2552,3,4,877600
SingleFamily,2018,250943,1953,7191,2449,4,5,846854
SingleFamily,2018,2913120,1940,10272,2952,4.5,6,3470458
SingleFamily,2018,1035197,1987,5009,2600,3,4,1600074
SingleFamily,2018,192647,1947,6251,1116,1,3,518345
Triplex,2018,240180,1964,5442,2671,3,6,678205
SingleFamily,2018,27091,1944,5375,810,1,2,344462
SingleFamily,2018,604471,1948,6560,650,1,2,824625
SingleFamily,2018,90227,1954,6317,1628,2,3,576888
SingleFamily,2018,546138,1953,3782,1158,2,2,2361622
SingleFamily,2018,263355,1954,6098,1261,2,3,529183
SingleFamily,2018,1322992,1957,6455,2060,3,4,1342975
SingleFamily,2018,414782,1956,5662,1471,2,3,604763
SingleFamily,2018,288868,1948,5488,2188,2,4,741787
SingleFamily,2018,208963,1947,7008,1080,1,3,554299
SingleFamily,2018,397281,1953,7442,1568,2,4,664054
SingleFamily,2018,363019,1953,7499,1234,2,3,557515
SingleFamily,2018,1498791,1941,7030,2445,3,5,1988294
SingleFamily,2018,151368,1947,9130,1158,1,3,887221
SingleFamily,2018,804529,1965,14746,2634,4,4,2183057
SingleFamily,2018,396285,1950,17480,1950,3,3,712531
SingleFamily,2018,315059,1983,10904,2179,2,4,744262
SingleFamily,2018,57489,1926,6750,1186,1,2,964840
SingleFamily,2018,525e3,2015,1558,1401,3,3,551082
SingleFamily,2018,87711,1939,6166,1756,3,3,615907
SingleFamily,2018,490049,1923,3e3,916,1,1,881394
SingleFamily,2018,252006,1939,24350,3200,3,4,3628939
SingleFamily,2018,211527,1936,9949,2190,2,3,1612304
SingleFamily,2018,1303908,1958,16795,4216,4,4,5215552
SingleFamily,2018,77297,1924,10442,1652,1,2,1343922
Quadruplex,2018,75147,1922,7979,4632,4,8,1487285
SingleFamily,2018,3339500,2012,6316,4172,6,4,3538480
SingleFamily,2018,191865,1947,5021,832,1,2,1756743
SingleFamily,2018,1170450,1950,6843,1632,2,3,1349952
SingleFamily,2018,742822,1962,11325,1956,2,3,846902
SingleFamily,2018,643e3,1961,8303,1795,2,3,651663
SingleFamily,2018,327725,1925,6002,1785,2,3,566057
MultiFamily2To4,2018,634525,1925,5227,2442,4,5,1442638
SingleFamily,2018,659688,1966,8841,2154,2,3,1528977
SingleFamily,2018,186132,1941,6606,1119,1,2,467706
SingleFamily,2018,86936,1949,5495,1026,1,2,701268
SingleFamily,2018,101267,1951,7829,1087,1,3,504296
SingleFamily,2018,901632,2009,17669,3361,4,5,945959
SingleFamily,2018,488975,1947,5799,1481,2,3,1432409
SingleFamily,2018,65013,1955,6006,1166,2,3,539948
SingleFamily,2018,712374,1925,3336,1044,2,3,806276
SingleFamily,2018,693247,1977,47044,1812,2,3,2021392
Condominium,2018,174237,1976,495261,1347,2,2,615798
Duplex,2018,448137,2011,5155,3320,6,8,734253
SingleFamily,2018,334741,1925,8346,2207,1,2,1329628
SingleFamily,2018,328229,1947,6312,1677,2,2,1128320
