street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424 W 99th St,90003,LOS ANGELES,Triplex,2018,240180.0,1964,5442,2671,3.0,6,678205
843 E 101st St,90002,LOS ANGELES,SingleFamily,2018,27091.0,1944,5375,810,1.0,2,344462
2408 Riverside Pl,90039,LOS ANGELES,SingleFamily,2018,604471.0,1948,6560,650,1.0,2,824625
18147 Cohasset St,91335,RESEDA,SingleFamily,2018,90227.0,1954,6317,1628,2.0,3,576888
245 W Channel Rd,90402,SANTA MONICA,SingleFamily,2018,546138.0,1953,3782,1158,2.0,2,2361622
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9171 Cranford Ave,91331,Arleta,SingleFamily,2018,263355.0,1954,6098,1261,2.0,3,529183
4306 Bellaire Ave,91604,STUDIO CITY,SingleFamily,2018,1322992.0,1957,6455,2060,3.0,4,1342975
6642 Hesperia Ave,91335,RESEDA,SingleFamily,2018,414782.0,1956,5662,1471,2.0,3,604763
5250 Coney Rd,90032,LOS ANGELES,SingleFamily,2018,288868.0,1948,5488,2188,2.0,4,741787
1645 W 205th St,90501,TORRANCE,SingleFamily,2018,208963.0,1947,7008,1080,1.0,3,554299
26331 Governor Ave,90710,HARBOR CITY,SingleFamily,2018,397281.0,1953,7442,1568,2.0,4,664054
16652 Bermuda St,91344,GRANADA HILLS,SingleFamily,2018,363019.0,1953,7499,1234,2.0,3,557515
9020 Ramsgate Ave,90045,LOS ANGELES,Apartment,2018,243742.0,1950,7003,900,1.0,2,
2163 Moreno Dr,90039,LOS ANGELES,SingleFamily,2018,1498791.0,1941,7030,2445,3.0,5,1988294
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8103 Valley Flores Dr,91304,West Hills,SingleFamily,NA,NA,1986,10717,2917,3.0,4,932779
5172 Orange Pl,90008,LOS ANGELES,SingleFamily,2018,151368.0,1947,9130,1158,1.0,3,887221
2427 Nalin Dr,90077,LOS ANGELES,SingleFamily,2018,804529.0,1965,14746,2634,4.0,4,2183057
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8400 Oso Ave,91306,WINNETKA,SingleFamily,2018,396285.0,1950,17480,1950,3.0,3,712531
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8740 Mclennan Ave,91343,Northridge,SingleFamily,2018,315059.0,1983,10904,2179,2.0,4,744262
3235 Garden Ave,90039,LOS ANGELES,SingleFamily,2018,57489.0,1926,6750,1186,1.0,2,964840
14681 1/2 Sherman Way,91405,VAN NUYS,SingleFamily,2018,525000.0,2015,1558,1401,3.0,3,551082
8817 S Gramercy Pl,90047,LOS ANGELES,SingleFamily,2018,87711.0,1939,6166,1756,3.0,3,615907
8456 Ridpath Dr,90046,LOS ANGELES,SingleFamily,2018,490049.0,1923,3000,916,1.0,1,881394
1130 Casiano Rd,90049,LOS ANGELES,SingleFamily,2018,252006.0,1939,24350,3200,3.0,4,3628939
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4267 Irvine Ave,91604,STUDIO CITY,SingleFamily,2018,211527.0,1936,9949,2190,2.0,3,1612304
1017 Maybrook Dr,90210,BEVERLY HILLS,SingleFamily,2018,1303908.0,1958,16795,4216,4.0,4,5215552
2718 Ivan Hill Ter,90039,LOS ANGELES,SingleFamily,2018,77297.0,1924,10442,1652,1.0,2,1343922
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176 S Bronson Ave,90019,LOS ANGELES,Quadruplex,2018,75147.0,1922,7979,4632,4.0,8,1487285
350 N Kilkea Dr,90048,LOS ANGELES,SingleFamily,2018,3339500.0,2012,6316,4172,6.0,4,3538480
3508 Greenwood Ave,90066,LOS ANGELES,SingleFamily,2018,191865.0,1947,5021,832,1.0,2,1756743
7615 Kentwood Ave,90045,LOS ANGELES,SingleFamily,2018,1170450.0,1950,6843,1632,2.0,3,1349952
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5552 Ostin Ave,91367,WOODLAND HILLS,SingleFamily,2018,742822.0,1962,11325,1956,2.0,3,846902
2808 1/2 Lanfranco St,90033,Los Angeles,SingleFamily,NA,NA,1914,6098,1356,2.0,3,458900
19003 Vincennes St,91324,NORTHRIDGE,SingleFamily,2018,643000.0,1961,8303,1795,2.0,3,651663
7040 Arlington Ave,90043,LOS ANGELES,SingleFamily,2018,327725.0,1925,6002,1785,2.0,3,566057
925 S Le Doux Rd APT 2,90035,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1.0,2,1984314
1549 Rendall Pl,90026,LOS ANGELES,MultiFamily2To4,2018,634525.0,1925,5227,2442,4.0,5,1442638
1631 Cicero Dr,90026,LOS ANGELES,SingleFamily,2018,659688.0,1966,8841,2154,2.0,3,1528977
3361 Andrita St,90065,Los Angeles,MultiFamily2To4,NA,NA,1960,20786,5783,11.0,11,4665683
1841 W 91st Pl,90047,LOS ANGELES,SingleFamily,2018,186132.0,1941,6606,1119,1.0,2,467706
5905 Balcom Ave,91316,ENCINO,SingleFamily,2018,86936.0,1949,5495,1026,1.0,2,701268
7305 Riverton Ave,91352,SUN VALLEY,SingleFamily,2018,101267.0,1951,7829,1087,1.0,3,504296
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8046 Wilbur Ave,91335,RESEDA,SingleFamily,2018,901632.0,2009,17669,3361,4.0,5,945959
3562 Purdue Ave,90066,LOS ANGELES,SingleFamily,2018,488975.0,1947,5799,1481,2.0,3,1432409
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3941 Sepulveda Blvd,91403,Los Angeles,SingleFamily,2018,458237.0,NA,33477,NA,NA,0,
15420 Bonsallo Ave,90247,GARDENA,SingleFamily,2018,65013.0,1955,6006,1166,2.0,3,539948
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3213 Future St,90065,LOS ANGELES,SingleFamily,2018,712374.0,1925,3336,1044,2.0,3,806276
2505 Jupiter Dr,90046,LOS ANGELES,SingleFamily,2018,693247.0,1977,47044,1812,2.0,3,2021392
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6515 Green Valley Cir UNIT 206,90230,CULVER CITY,Condominium,2018,174237.0,1976,495261,1347,2.0,2,615798
5046 Los Robles St,90041,Los Angeles,Apartment,NA,NA,NA,NA,462,1.0,2,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8946 S Vermont Ave,90044,LOS ANGELES,Duplex,2018,448137.0,2011,5155,3320,6.0,8,734253
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853 Lemoyne St,90026,LOS ANGELES,SingleFamily,2018,334741.0,1925,8346,2207,1.0,2,1329628
5612 W 78th St,90045,LOS ANGELES,SingleFamily,2018,328229.0,1947,6312,1677,2.0,2,1128320
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5950 Winnetka Ave,91367,WOODLAND HILLS,SingleFamily,2018,547476.0,1951,28921,3734,4.0,5,1468827
12725 Eagle Rock Way,91331,PACOIMA,SingleFamily,2018,462886.0,2007,28056,2107,3.0,5,589328
9220 Cathwell Ln,91042,TUJUNGA,SingleFamily,2018,863430.0,1969,19166,2684,3.0,7,981149
1800 Edgecliffe Dr,90026,LOS ANGELES,SingleFamily,2018,510499.0,1925,1900,811,1.0,2,864059
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2652 Westwood Blvd,90064,LOS ANGELES,SingleFamily,2018,1100000.0,1945,7405,1223,1.0,3,1459257
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22537 Sylvan St,91367,WOODLAND HILLS,SingleFamily,2018,950775.0,1963,13155,3120,4.0,5,1076371
440 E 31st St,90011,LOS ANGELES,SingleFamily,2018,295000.0,1903,3468,1198,1.0,2,444316
7945 Genesta Ave,91406,VAN NUYS,SingleFamily,2018,489904.0,1949,15928,2122,2.0,3,780784
4982 La Calandria Dr,90032,LOS ANGELES,SingleFamily,2018,372363.0,1982,5198,1104,2.0,3,582351
22357 Dolorosa St,91367,WOODLAND HILLS,SingleFamily,2018,795600.0,1949,22215,2989,3.0,4,1229442
4438 Bellingham Ave,91604,STUDIO CITY,SingleFamily,2018,1044954.0,2016,5619,2500,3.0,4,1587447
2433 Cloy Ave,90291,VENICE,SingleFamily,2018,1535250.0,1975,3780,1317,2.0,3,1890491
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4251 Sunnyside Ave,90066,LOS ANGELES,SingleFamily,2018,918789.0,1950,5662,942,1.0,2,1347293
6545 S Victoria Ave APT 1,90043,Los Angeles,Apartment,2018,668100.0,1965,5662,900,2.0,2,
939 N Hill St,90012,Los Angeles,SingleFamily,2018,122336.0,1949,1440,2400,NA,0,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7737 Elmer Ave,91352,SUN VALLEY,SingleFamily,2018,76582.0,1947,6651,1001,1.0,3,489797
7917 Mencken Ave,91304,CANOGA PARK,SingleFamily,2018,881980.0,1985,7274,2515,3.0,4,910252
606 N Figueroa St APT 318,90012,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,621556
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843 N Heliotrope Dr,90029,LOS ANGELES,Duplex,2018,407312.0,1921,6249,2589,2.0,5,1180476
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5910 4th Ave,90043,LOS ANGELES,SingleFamily,2018,81417.0,1924,4801,1576,2.0,3,559464
300 John Way,90732,SAN PEDRO,SingleFamily,2018,593775.0,1974,10561,2690,3.0,3,1004625
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590 E 41st St,90011,LOS ANGELES,SingleFamily,2018,348000.0,1909,5462,998,1.0,3,412304
16423 Rinaldi St,91344,GRANADA HILLS,SingleFamily,2018,549256.0,1959,8398,1570,2.0,4,599879
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2121 N Hobart Blvd,90027,LOS ANGELES,SingleFamily,2018,1147527.0,1968,13503,2925,4.0,4,2986679
13224 Old Oak Ln,90049,LOS ANGELES,SingleFamily,2018,9361105.0,1941,28524,5478,5.0,7,10790904
221 W 66th St,90003,LOS ANGELES,SingleFamily,2018,211854.0,1922,5129,1164,2.0,2,387928
5807 Bertrand Ave,91316,ENCINO,SingleFamily,2018,733481.0,1949,5488,1826,3.0,4,827449
501 S Normandie Ave,90020,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,770814
232 E 47th St,90011,LOS ANGELES,SingleFamily,2018,490353.0,1910,6075,1300,1.0,3,395353
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19055 Hartland St,91335,RESEDA,SingleFamily,2018,408000.0,1949,5662,814,1.0,2,510394
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7719 Genesta Ave,91406,VAN NUYS,SingleFamily,2018,536520.0,1949,8096,1098,1.0,3,575014
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17964 Lull St,91335,RESEDA,SingleFamily,2018,449259.0,1951,5662,1582,3.0,4,581677
7802 Cleon Ave,91352,SUN VALLEY,SingleFamily,2018,194839.0,1948,8049,1090,1.0,3,482271
1510 Electric Ave,90291,VENICE,SingleFamily,2018,700928.0,1922,6400,1400,2.0,2,2037916
18731 Calvert St,91335,Tarzana,SingleFamily,2018,395982.0,1935,21754,1304,1.0,2,837315
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700 W 52nd St,90062,LOS ANGELES,MultiFamily2To4,2018,370200.0,1921,6237,2336,NA,0,500067
3940 Somerset Dr,90008,LOS ANGELES,SingleFamily,2018,645047.0,1942,6146,1346,1.0,2,798052
938 King Ave,90744,WILMINGTON,SingleFamily,2018,49080.0,1951,7229,1067,1.0,3,433207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1341 N Normandie Ave,90027,LOS ANGELES,MultiFamily2To4,2018,487012.0,1912,5198,1500,NA,0,934046
517 N Windsor Blvd,90004,LOS ANGELES,Quadruplex,2018,428637.0,1923,5089,3473,1.0,3,1802561
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22442 Berdon St,91367,WOODLAND HILLS,SingleFamily,2018,365549.0,1953,6752,950,1.0,2,639733
13231 Goleta St,91331,PACOIMA,SingleFamily,2018,74363.0,1952,9000,1327,1.0,4,465955
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1147 S Kingsley Dr,90006,LOS ANGELES,Duplex,2018,400799.0,1905,5900,3155,3.0,7,1329232
1243 S Olive St APT 450,90015,Los Angeles,Apartment,NA,NA,2016,NA,501,1.0,0,
9915 Woodale Ave,91331,Arleta,SingleFamily,2018,337791.0,1955,6000,1300,2.0,3,501618
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460 W 183rd St,90248,GARDENA,SingleFamily,2018,541125.0,2006,8712,3861,4.0,6,1058148
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4117 College Crest Dr,90065,LOS ANGELES,SingleFamily,2018,92267.0,1947,6547,1915,2.0,4,978425
555 W Century Blvd,90044,LOS ANGELES,SingleFamily,2018,141245.0,1926,4042,877,1.0,2,378906
701 W 83rd St,90044,LOS ANGELES,SingleFamily,2018,127222.0,1920,6001,784,1.0,2,369644
23723 Crosson Dr,91367,WOODLAND HILLS,SingleFamily,2018,149863.0,1963,7594,2523,2.0,4,855346
10319 Lou Dillon Ave,90002,LOS ANGELES,SingleFamily,2018,239291.0,1956,3253,1017,1.0,3,341592
1417 Hi Point St,90035,LOS ANGELES,MultiFamily2To4,2018,973317.0,1949,8494,3123,NA,5,1728374
7945 Coldwater Canyon Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,833000.0,1922,36590,1994,1.0,3,698969
18901 Knapp St,91324,NORTHRIDGE,SingleFamily,2018,310813.0,1958,7552,1702,2.0,4,621770
1332 N Fairfax Ave,90046,West Hollywood,SingleFamily,2018,349414.0,1919,6550,1462,1.0,2,1848321
281 Bellino Dr,90272,PACIFIC PALISADES,SingleFamily,2018,1052143.0,1952,5769,1647,3.0,2,2596247
6853 Bellingham Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,55541.0,1950,6749,1242,1.0,3,606291
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106 S Citrus Ave,90019,LOS ANGELES,MultiFamily2To4,2018,268698.0,1936,6490,4447,6.0,8,2074019
2715 S Genesee Ave,90016,LOS ANGELES,SingleFamily,2018,500972.0,1940,4400,1955,2.0,5,1120602
10051 Densmore Ave,91343,NORTH HILLS,SingleFamily,2018,54459.0,1954,7499,1264,2.0,3,563122
3463 W 71st St,90043,LOS ANGELES,SingleFamily,2018,255000.0,1939,5802,964,2.0,3,487324
5456 Columbus Ave,91411,Sherman Oaks,SingleFamily,2018,759491.0,1949,6969,1236,2.0,3,810059
1938 Avalon St,90039,LOS ANGELES,Duplex,2018,340909.0,1920,2154,842,2.0,1,836036
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10623 Pinewood Ave,91042,TUJUNGA,SingleFamily,2018,498565.0,1977,5662,1401,2.0,3,619267
13830 Davana Ter,91423,SHERMAN OAKS,SingleFamily,2018,695587.0,1942,7402,2538,3.0,3,1598171
1930 Sichel St,90031,LOS ANGELES,Apartment,2018,237676.0,1897,9884,3243,6.0,7,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3085 Knob Dr,90065,LOS ANGELES,SingleFamily,2018,665445.0,1944,5357,1163,1.0,2,795873
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445 S Chicago St,90033,Los Angeles,Apartment,2018,75794.0,1926,7527,5576,6.0,6,
13914 Hubbard St,91342,SYLMAR,SingleFamily,2018,90196.0,1954,8815,1318,2.0,2,496617
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969 Hilgard Ave APT 307,90024,LOS ANGELES,Condominium,2018,270141.0,1961,39095,1012,1.0,2,693232
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12407 La Maida St,91607,VALLEY VILLAGE,SingleFamily,2018,850840.0,1949,6534,1770,3.0,3,1060637
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4057 Dalton Ave,90062,LOS ANGELES,SingleFamily,2018,182413.0,1909,6692,1479,1.0,2,633721
5943 Abernathy Dr,90045,LOS ANGELES,SingleFamily,2018,756905.0,1950,6902,1115,1.0,2,1041283
1016 Moraga Dr,90049,LOS ANGELES,SingleFamily,2018,8196304.0,1961,139139,7605,7.0,6,10435315
9945 Nevada Ave,91311,CHATSWORTH,SingleFamily,2018,666000.0,1977,7521,2773,3.0,4,783708
4130 Saint Clair Ave,91604,STUDIO CITY,SingleFamily,2018,415088.0,1948,6997,1295,2.0,2,1244670
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511 N Curson Ave,90036,LOS ANGELES,MultiFamily2To4,2018,725902.0,1923,6504,2333,5.5,6,2350245
926 S Plymouth Blvd,90019,LOS ANGELES,SingleFamily,2018,592035.0,1922,6001,1470,1.0,3,1270569
10300 Santa Monica Blvd,90025,LOS ANGELES,SingleFamily,2018,2268920.0,1949,5401,3729,3.0,3,3275834
17864 Orna Dr,91344,GRANADA HILLS,SingleFamily,2018,837827.0,1991,13645,3907,4.0,5,1097624
8856 Casaba Ave,91306,WINNETKA,SingleFamily,2018,343667.0,1956,8225,1986,2.0,4,644926
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506 Dogwood Pl,90042,LOS ANGELES,SingleFamily,2018,381854.0,1962,5216,1640,2.0,3,936237
4208 Garden Homes Ave,90032,LOS ANGELES,Duplex,2018,327571.0,1921,7025,1850,3.0,4,724438
7406 Satsuma Ave,91352,SUN VALLEY,SingleFamily,2018,52949.0,1949,7357,800,1.0,2,471190
10823 Eldora Ave,91040,SUNLAND,SingleFamily,2018,427535.0,1946,5308,792,1.0,2,531929
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3782 Wade St,90066,LOS ANGELES,SingleFamily,2018,275498.0,1940,5662,1386,2.0,3,1370149
15926 Joseph Ct,91342,SYLMAR,SingleFamily,2018,550800.0,1979,77001,2126,3.0,4,695475
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438 E 83rd St,90003,LOS ANGELES,SingleFamily,2018,169493.0,1972,5205,1200,2.0,4,432227
12651 Jolette Ave,91344,GRANADA HILLS,SingleFamily,2018,120607.0,1964,12048,2048,2.0,4,744988
5936 Cartwright Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,267294.0,1948,6466,954,1.0,3,660428
17630 Blackhawk St,91344,GRANADA HILLS,SingleFamily,2018,321348.0,1966,8174,1743,2.0,3,655052
1509 W 51st St,90062,LOS ANGELES,MultiFamily2To4,2018,421448.0,1921,5488,2130,NA,0,594108
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4353 La Amistad Way,91356,TARZANA,SingleFamily,2018,718088.0,1967,18439,3318,4.0,4,1479875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10547 Valparaiso St,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1.0,2,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3137 Yale Ave,90292,MARINA DEL REY,SingleFamily,2018,79031.0,1946,4017,1175,1.0,3,1431164
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921 W 93rd St,90047,LOS ANGELES,SingleFamily,2018,46053.0,1942,5099,1273,1.0,3,469333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11335 Modena Ln,91326,Northridge,SingleFamily,2018,749229.0,2003,5614,2857,3.0,5,885422
22001 Santa Susana Pass Rd,91311,CHATSWORTH,VacantResidentialLand,2018,290596.0,1928,728445,1442,NA,2,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435 W 219th St,90501,Torrance,MultiFamily2To4,NA,NA,1943,9125,2250,NA,0,691485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13120 Angeles Trail Way,91342,SYLMAR,SingleFamily,2018,591600.0,2002,3588908,2885,3.0,4,702220
8801 S Sepulveda Blvd,90045,Los Angeles,SingleFamily,2018,1461333.0,1953,18414,19372,NA,0,
5938 Babbitt Ave,91316,ENCINO,SingleFamily,2018,117812.0,1956,5999,1766,2.0,3,834156
3416 Verdugo Vista Ter,90065,LOS ANGELES,SingleFamily,2018,309876.0,1953,5146,1438,1.0,3,925463
149 S Formosa Ave,90036,LOS ANGELES,SingleFamily,2018,167159.0,1930,7696,3626,4.0,5,2545373
1012 W 55th St,90037,LOS ANGELES,SingleFamily,2018,359184.0,1914,6387,2462,3.0,5,614723
645 E 83rd St,90001,LOS ANGELES,SingleFamily,2018,210012.0,1940,5103,1285,2.0,3,399051
810 S Gaffey St,90731,San Pedro,SingleFamily,NA,NA,NA,NA,NA,NA,0,630093
2741 S Harcourt Ave,90016,LOS ANGELES,SingleFamily,2018,681090.0,1926,7801,1482,2.0,2,740959
13525 Ottoman St,91331,Arleta,SingleFamily,2018,184610.0,1958,5965,1189,2.0,3,503300
1037 Ronan Ave,90744,WILMINGTON,Triplex,2018,318459.0,1925,7602,1350,3.0,2,504000
11871 Beatrice St,90230,Los Angeles,SingleFamily,2018,237302.0,1949,5750,2610,2.0,3,1627343
130 E 71st St,90003,LOS ANGELES,SingleFamily,2018,176118.0,1910,5100,1342,2.0,2,407736
2433 Solar Dr,90046,LOS ANGELES,SingleFamily,2018,1938000.0,1961,5599,1452,2.0,3,1393250
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17175 Tribune St,91344,GRANADA HILLS,SingleFamily,2018,595108.0,1950,9496,1637,2.0,3,651790
20644 Lemmer St,91311,CHATSWORTH,SingleFamily,2018,554536.0,1978,5033,1843,3.0,3,639628
12414 Havelock Ave,90066,LOS ANGELES,SingleFamily,2018,59627.0,1955,4423,679,1.0,2,960581
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5317 Satsuma Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,147598.0,1938,5399,770,1.0,2,881435
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5242 Tilden Ave,91401,Sherman Oaks,SingleFamily,2018,454412.0,1937,5903,1288,2.0,3,780551
13062 Goleta St,91331,PACOIMA,SingleFamily,2018,84310.0,1947,9003,608,1.0,2,405549
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18612 Gledhill St,91324,NORTHRIDGE,SingleFamily,2018,458116.0,1957,8276,2016,3.0,4,690289
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329 N Fuller Ave,90036,LOS ANGELES,SingleFamily,2018,1794886.0,1929,10284,4141,5.0,5,3154216
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433 Lucas Ave,90017,LOS ANGELES,SingleFamily,2018,493715.0,NA,4695,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12631 Garber St,91331,PACOIMA,SingleFamily,2018,280621.0,1965,13198,1314,2.0,3,538837
7385 La Tijera Blvd,90045,LOS ANGELES,SingleFamily,2018,113019.0,NA,11997,NA,NA,NA,
7412 Craner Ave,91352,SUN VALLEY,SingleFamily,2018,233691.0,1949,6749,812,1.0,2,480050
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8416 Grand View Dr,90046,LOS ANGELES,SingleFamily,2018,3170000.0,1981,26916,2900,3.5,4,3678977
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11651 Tennessee Ave,90064,LOS ANGELES,Quadruplex,2018,389907.0,1955,5609,3176,4.0,6,1837938
16354 Londelius St,91343,NORTH HILLS,SingleFamily,2018,122611.0,1955,7553,1608,2.0,4,613511
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15231 Greenleaf St,91403,SHERMAN OAKS,SingleFamily,2018,1280000.0,1957,10717,1820,2.0,3,1335824
718 E Colden Ave,90002,LOS ANGELES,SingleFamily,2018,314000.0,1926,4887,1207,2.0,3,405770
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3729 Terrace View Dr,91436,ENCINO,SingleFamily,2018,1106300.0,1962,19534,2328,3.0,5,1464406
11745 Monte Leon Way,91326,PORTER RANCH,SingleFamily,2018,596106.0,1977,13139,3511,3.0,5,1084720
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19752 Kittridge St,91306,WINNETKA,SingleFamily,2018,489891.0,1955,6045,1242,2.0,3,558370
10521 National Blvd APT 201,90034,LOS ANGELES,Condominium,2018,481127.0,1976,27060,1088,2.0,2,1140418
11329 Woodcock Ave,91331,PACOIMA,SingleFamily,2018,220702.0,1964,7037,1200,2.0,3,467507
