street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612 Coleman Ave,90042,LOS ANGELES,SingleFamily,2018,794375.0,2005,5662,2134,3.0,4,1052881
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8038 Masefield Ct,91304,CANOGA PARK,SingleFamily,2018,1034080.0,1986,20984,3064,3.0,4,959851
18070 Rancho St,91316,ENCINO,SingleFamily,2018,669180.0,1952,14689,2498,3.0,3,1419337
2905 S Cabrillo Ave # 814,90731,San Pedro,MultiFamily5Plus,2018,570382.0,2005,2499,1125,1.5,2,
9453 1/2 Los Angeles St,90706,Bellflower,Apartment,NA,NA,NA,NA,NA,1.0,1,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15736 Tuba St,91343,NORTH HILLS,SingleFamily,2018,282933.0,1958,8073,1168,2.0,3,541098
1477 W 35th Pl,90018,LOS ANGELES,SingleFamily,2018,155083.0,1912,6800,1443,1.0,3,681195
2135 Holmby Ave,90025,LOS ANGELES,SingleFamily,2018,203813.0,1926,7770,1718,2.0,3,2032792
1147 W 21st St,90007,San Pedro,SingleFamily,2018,445497.0,1952,5402,999,1.0,2,575937
10560 Dolcedo Way,90077,LOS ANGELES,SingleFamily,2018,727178.0,1931,25918,2600,3.0,3,4586500
805 W 103rd St,90044,LOS ANGELES,SingleFamily,2018,410000.0,1925,4033,988,2.0,3,433606
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352 E 68th St,90003,LOS ANGELES,Duplex,2018,214030.0,1924,5409,1500,2.0,4,457787
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14520 Daubert St,91345,MISSION HILLS,SingleFamily,2018,327072.0,1955,7045,1336,2.0,3,525897
1648 1/2 N Harvard Blvd,90027,Los Angeles,Apartment,NA,NA,NA,NA,NA,1.0,1,
1660 253rd St,90710,HARBOR CITY,SingleFamily,2018,601800.0,1928,5669,1244,3.0,4,590468
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23427 Friar St,91367,WOODLAND HILLS,SingleFamily,2018,80738.0,1959,6859,1587,2.0,3,695353
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8129 S Figueroa St,90003,LOS ANGELES,SingleFamily,2018,484813.0,1910,6490,770,1.0,2,503289
5719 Aldama St,90042,LOS ANGELES,SingleFamily,2018,425557.0,1923,3628,822,1.0,2,659969
4647 Don Pio Dr,91364,WOODLAND HILLS,SingleFamily,2018,97798.0,1955,6893,1133,2.0,3,716537
1814 Morton Ave,90026,LOS ANGELES,Duplex,2018,233607.0,1907,7499,1200,2.0,2,937429
23811 Berdon St,91367,WOODLAND HILLS,SingleFamily,2018,441848.0,1962,11005,2359,2.0,3,947042
3110 Federal Ave,90066,LOS ANGELES,SingleFamily,2018,867066.0,1948,6581,3033,4.0,7,2171172
5008 W 2nd St,90004,LOS ANGELES,SingleFamily,2018,2856000.0,1973,5923,3644,5.0,4,3119540
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6908 Laurel Canyon Blvd,91605,NORTH HOLLYWOOD,Duplex,2018,375204.0,1940,7537,2864,4.0,7,889071
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19842 Leadwell St,91306,WINNETKA,SingleFamily,2018,534119.0,1956,7004,1324,2.0,3,560409
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17528 Marilla St,91325,NORTHRIDGE,SingleFamily,2018,158535.0,1960,16804,2176,3.0,4,798641
4941 Odessa Ave,91436,ENCINO,SingleFamily,2018,187948.0,1949,9752,3296,4.0,4,1518918
1835 Bolker Pl,90731,SAN PEDRO,SingleFamily,2018,612000.0,1961,5450,1180,2.0,3,661679
429 Ocampo Dr,90272,PACIFIC PALISADES,SingleFamily,2018,229220.0,1937,9042,2594,3.0,5,4018472
1255 Granville Ave APT 7,90025,Los Angeles,Apartment,NA,NA,1970,NA,1009,1.0,1,
21723 Rodax St,91304,CANOGA PARK,SingleFamily,2018,479310.0,1958,7613,2036,2.0,3,639655
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221 W 82nd St,90044,LOS ANGELES,SingleFamily,2018,186918.0,1933,4080,2346,3.0,4,598301
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300 S Miraleste Dr UNIT 1,90732,Los angeles,Condominium,2018,160368.0,1971,311190,1140,2.0,2,358620
2359 Gatewood St,90031,LOS ANGELES,SingleFamily,2018,174170.0,1948,5051,883,1.0,2,722631
18941 Kilfinan St,91326,PORTER RANCH,SingleFamily,2018,372289.0,1966,7718,2310,3.0,5,763077
1315 W 228th St,90501,Torrance,MultiFamily2To4,NA,NA,1954,7200,3596,4.0,7,927245
1254 N Bundy Dr,90049,LOS ANGELES,SingleFamily,2018,4112589.0,2005,26576,6595,5.5,5,6124331
5809 Rhodes Ave,91607,VALLEY VILLAGE,SingleFamily,2018,561202.0,1951,8043,1942,3.0,2,942950
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922 N Edgemont St,90029,LOS ANGELES,SingleFamily,2018,796946.0,1929,6250,2662,3.0,4,1337684
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146 E 27th St,90011,LOS ANGELES,MultiFamily2To4,2018,332928.0,1922,5314,1708,2.0,3,464538
10701 Plainview Ave,91042,TUJUNGA,SingleFamily,2018,326665.0,1930,6245,1567,2.0,3,614841
7842 Cantaloupe Ave,91402,PANORAMA CITY,SingleFamily,2018,264712.0,1951,5662,1040,1.0,3,533882
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4187 Chase Ave,90066,LOS ANGELES,SingleFamily,2018,966526.0,1945,6650,1576,2.0,3,1347612
3950 Cherrywood Ave,90008,LOS ANGELES,SingleFamily,2018,65447.0,1937,5975,1604,2.0,3,767150
21624 Los Alimos St,91311,CHATSWORTH,SingleFamily,2018,547738.0,1976,17518,2217,3.0,4,817334
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4281 Fountain Ave,90029,LOS ANGELES,SingleFamily,2018,1248480.0,1949,5426,1700,2.0,3,
15400 Valley Vista Blvd,91403,SHERMAN OAKS,SingleFamily,2018,566582.0,1956,13667,3551,4.0,4,2166319
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10941 Crockett St,91352,SUN VALLEY,SingleFamily,2018,575000.0,1954,9588,1249,2.0,3,563240
756 W 108th St,90044,LOS ANGELES,SingleFamily,2018,60492.0,1937,7661,1771,2.0,3,513018
6521 Agnes Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,249479.0,1941,6098,1104,1.0,2,616473
3948 W Slauson Ave,90043,Los Angeles,SingleFamily,2018,24726.0,1934,2749,782,NA,0,606004
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9456 Hendrix Ln,91343,NORTH HILLS,Condominium,2018,374971.0,2006,101198,2025,3.0,5,546592
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540 Altair Pl,90291,VENICE,SingleFamily,2018,47775.0,1922,2705,758,1.0,2,1678518
2805 S Kerckhoff Ave,90731,SAN PEDRO,SingleFamily,2018,278025.0,1954,5000,1087,1.0,2,551187
2935 Vaquero Ave,90032,LOS ANGELES,SingleFamily,2018,432960.0,1925,4997,864,2.0,2,529171
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8723 Denver Ave,90044,LOS ANGELES,SingleFamily,2018,453262.0,1923,4400,700,1.0,2,343191
445 S Windsor Blvd,90020,LOS ANGELES,SingleFamily,2018,635000.0,1913,18009,5046,4.0,4,5011356
10434 Haskell Ave,91344,GRANADA HILLS,SingleFamily,2018,250284.0,1954,8511,1581,2.0,3,612516
3604 Loosmore St,90065,LOS ANGELES,Duplex,2018,47753.0,1928,3940,1868,2.0,4,804965
13207 De Garmo Ave,91342,SYLMAR,SingleFamily,2018,145894.0,1966,6089,1424,2.0,4,534009
1444 W 62nd St,90047,LOS ANGELES,SingleFamily,2018,171100.0,1970,5101,876,2.0,3,435493
13526 Ventura Blvd,91423,Sherman Oaks,SingleFamily,2018,175771.0,1930,6039,2462,NA,0,
4862 Axtell St,90032,LOS ANGELES,Duplex,2018,369195.0,1921,7121,1660,2.0,4,645404
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
